,created_at,text,source,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,country,full_name,Timeline,cleaned_tweet_text,LDA_clean_text,EMPATH_scores,Hesitation,Sorrow,Faith,Contentment,Anticipation,Rage,Vaccine Rollout,Inequities,Health Effects,Misinformation,final_category
0,2020-09-06,I’m all for vaccines but this COVID one seems like it was turned in at 11:59 https://t.co/x99diYJqJC,Twitter for iPhone,8344,60,27251,352,United States,"Atlanta, GA",Before_Sep,vaccines covid seems turned,seems turned,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
1,2020-09-28,Y’all taking that mark of the beast vaccine when it drops? https://t.co/gYoEjHgjkj,Twitter for iPhone,122,22,677,14,United States,"Atlanta, GA",Before_Sep,taking beast vaccine drops,taking beast drops,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
2,2020-09-17,"2. Ventilation: 
A good supply of outside air, in accordance with ASHRAE Std 62.1-2019, to dilute indoor contaminants is a first line of defense against aerosol transmission of SARS-CoV-2. Pre- and post-occupancy purge cycles are recommended to flush the building with clean air.",Twitter for Mac,0,1,0,0,United States,"Atlanta, GA",Before_Sep,ventilation supply outside accordance ashrae dilute indoor contaminants first defense aerosol transmission sarscov2 postoccupancy purge cycles recommended flush building clean,ventilation supply outside accordance ashrae dilute indoor contaminants first defense aerosol transmission sarscov2 postoccupancy purge cycles recommended flush building clean,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.05, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,Vaccine Rollout
3,2020-09-24,"BREAKING: Trump announced today he will overrule FDA in the vaccine if he disagrees with them.

Drug companies must wait to submit.",Twitter for iPhone,7185,1285,23549,1049,United States,"Minneapolis, MN",Before_Sep,breaking trump announced today overrule vaccine disagrees companies submit,breaking trump announced today overrule disagrees companies submit,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
4,2020-09-13,They doing free Corona testing at George Floyd's Memorial Sunday's 12-4pm pull up. Help me boost this please ✊🏽. https://t.co/lY6owgu2TJ,Twitter for Android,509,13,943,1,United States,"Minneapolis, MN",Before_Sep,corona testing george floyds memorial sundays 124pm boost please,testing george floyds memorial sundays 124pm boost please,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
5,2020-09-24,"@contrarian4data @ximenasomoza @OBusybody From the authors: T cells that are specific to viral proteins are protective in animal models of airway infections, but the possible effects of pre-existing N- and/or ORF1-specific T cells onthe differential modulation of SARS-CoV-2 infection will have to be carefully evaluated.",Twitter for iPhone,0,1,0,0,United States,"Minneapolis, MN",Before_Sep,authors cells specific viral proteins protective animal models airway infections possible effects preexisting andor orf1specific cells onthe differential modulation sarscov2 infection carefully evaluated,authors cells specific viral proteins protective animal models airway infections possible effects preexisting andor orf1specific cells onthe differential modulation sarscov2 infection carefully evaluated,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
6,2020-09-27,Those of us working on SARS-CoV-2 pay more in taxes than the guy f*cking it up.,Twitter for Android,22,4,124,0,United States,"Chapel Hill, NC",Before_Sep,working sarscov2 taxes fcking,working sarscov2 taxes fcking,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
7,2020-09-27,"@SherriDouville I work on SARS-CoV-2, as has my partner and my colleagues at work. If you think I trivialize the loss of healthcare workers, or have ever advocated for unnecessary risk exposure, then you are sorely mistaken.",Twitter for Android,0,2,4,0,United States,"Chapel Hill, NC",Before_Sep,sarscov2 partner colleagues think trivialize healthcare workers advocated unnecessary exposure sorely mistaken,sarscov2 partner colleagues think trivialize healthcare workers advocated unnecessary exposure sorely mistaken,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
8,2020-09-29,"Highly recommended this insightful piece on the infrastructure of mass-scale vaccine roll-outs, in this case for SARS-CoV-2.

Vaccine Chaos Is Looming
By @sarahzhang
Via @TheAtlantic

https://t.co/Nvf1qBQEq5",Twitter for Android,0,0,5,0,United States,"Chapel Hill, NC",Before_Sep,highly recommended insightful piece infrastructure massscale vaccine rollouts sarscov2 vaccine chaos looming,highly recommended insightful piece infrastructure massscale rollouts sarscov2 chaos looming,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
9,2020-09-21,"To restore our way of life, we must first defeat the COVID-19 virus. Operation Warp Speed #OperationWarpSpeed created by the Trump administration, is developing COVID-19 vaccines and therapeutics. The progress has been incredible ⬇ https://t.co/NVsLBH68VT",Twitter for iPhone,20,25,39,2,United States,"Silver Spring, MD",Before_Sep,restore first defeat covid19 virus operation speed operationwarpspeed created trump administration developing covid19 vaccines therapeutics progress incredible,restore first defeat covid19 virus operation speed operationwarpspeed created trump administration developing covid19 therapeutics progress incredible,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.058823529411764705, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,Anticipation
