,created_at,id,text,source,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.place_id,geo.coordinates.type,geo.coordinates.coordinates,country,full_name,Timeline
0,2020-12-21T14:05:22.000Z,1341021949372358659,".@joniernst a few months ago: Doctors are lying about the number of COVID-19 cases for money.

@joniernst today: I should be first to get the vaccine. https://t.co/EuHRNwhLb6",Twitter for Android,4334399601,7049,2187,25124,1667,1c67f9d9cbae7f69,,,United States,"Des Moines, IA",During_Dec
1,2020-12-23T00:05:38.000Z,1341535399907381254,#Moderna COVID-19 vaccines arrive at central Iowa hospitals https://t.co/HzFajXYVHf @MercyOneDSM @UnityPointDSM @BroadlawnsMed #DSMUSA #DSMstrong,Twitter for iPhone,19226545,1,0,2,0,1c67f9d9cbae7f69,,,United States,"Des Moines, IA",During_Dec
2,2020-12-20T17:32:00.000Z,1340711562961702920,I regularly eat food my kids dropped on the floor. I’ll probably be okay without the vaccine.,Twitter for iPhone,1084919983694663680,20,8,99,2,1c67f9d9cbae7f69,,,United States,"Des Moines, IA",During_Dec
3,2020-12-20T14:18:28.000Z,1340662859517341698,"Members of Congress have each been paid 16 paydays of $7,125 base salaries for a total of $114,000 since sending you $1,200 to live on 240 days ago. You got 20 cents a day, they got $475 a day. And they took a recess (paid vacation). #coronavirus #StimulusCheck https://t.co/7aWUpYbIBh",Twitter for iPhone,13410,9304,525,17805,1161,73d1c1c11b675932,,,United States,"Chesapeake, VA",During_Dec
4,2020-12-23T15:11:57.000Z,1341763482031632386,"Breaking: Health Canada has just approved the Moderna vaccine, meaning Canada now has two approved COVID-19 vaccines. A briefing is scheduled for later today. https://t.co/eavZroDYTu",Twitter for iPhone,291626846,25,2,115,8,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
5,2020-12-22T13:29:02.000Z,1341375195081289733,Dr. Roberta Debiasi from @ChildrensNatl on Whether COVID-19 Vaccines Are Safe For Children https://t.co/GRiVI09PT7,Twitter for iPhone,111079866,2,1,12,0,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
6,2020-12-30T23:55:22.000Z,1344431920172716032,"Today I got vaccinated for COVID-19. I share this as a Hawaiian so you can see it’s safe. COVID-19 has hit Pacific Islanders harder than others. Taking this vaccine helps us protect our communities. As it’s available to you, please do your part to protect our communities. https://t.co/iZvdxjOjkT",Twitter for iPhone,4863545294,77,16,932,3,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
7,2020-12-29T12:07:22.000Z,1343891358319321088,"Essentially the only strategy Trump has had to defeat COVID was to hope vaccines would come quickly.  They have - but of course this godawful corrupt Administration had no plan for how people would actually get the vaccine. 

An infuriating thread. https://t.co/P1QwINBbJ5",Twitter for iPhone,37738073,165,13,350,10,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
8,2020-12-29T00:14:37.000Z,1343711986606092288,Healthcare workers in DC can now make an appointment to get the #coronavirus vaccine https://t.co/f0tvWTeEQx #DCHOPE,Twitter for iPhone,245571881,78,7,291,9,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
9,2020-12-28T21:12:35.000Z,1343666177290203144,"If you’re a DC resident you can now register to receive the #COVID19 vaccine. Signing up below will help determine your access timeline. ⤵️

https://t.co/TcVmRyRQu8",Twitter for iPhone,60937618,104,7,101,11,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
10,2020-12-21T11:20:25.000Z,1340980439889133569,I wanted to get tested for coronavirus. Everyone in DC had the same idea at the same damn time! https://t.co/EaWIQbMatd,Twitter for iPhone,38671739,29,25,391,8,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
11,2020-12-28T13:01:37.000Z,1343542620405047297,"Please continue to wear a mask, wash your hands, social distance, and if you need a #coronavirus test, you can get a free test https://t.co/gdK9j36PSG https://t.co/38cwD0yJds",Twitter for iPhone,245571881,47,6,121,1,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
12,2020-12-20T19:21:38.000Z,1340739155140222977,New  genetic #SARSCoV2 variant in England is worrying but not catastrophic. It’s more transmissible  but not more pathogenic. It shouldn’t affect vaccines. It’s a “fitter” variant &amp; has likely spread including to the US. We haven’t detected it b/c of weak genomic surveillance,Twitter for iPhone,1270238612,51,4,100,9,01fbe706f872cb32,,,United States,"Washington, DC",During_Dec
