,source,created_at,text,author_id,id,geo.place_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.coordinates.type,geo.coordinates.coordinates,country,full_name,Timeline
0,Twitter for iPhone,2021-02-12T03:07:00.000Z,"Biden has purchased enough vaccines to inoculate all Americans.

Trump has purchased enough GOP Senators to inoculate himself.",270132611,1360062822194020354,e4a0d228eb6be76b,20501,1174,101674,947,,,United States,"Philadelphia, PA",During_Feb
1,Twitter for iPhone,2021-02-25T23:58:33.000Z,"Biden aced 50 million vaccines

Kushner misplaced 20 million vaccines",270132611,1365088829066117126,e4a0d228eb6be76b,4803,530,24972,216,,,United States,"Philadelphia, PA",During_Feb
2,Twitter for iPhone,2021-02-16T18:13:29.000Z,"Biden’s approval rating: 57%

Number of American patriots in the Senate: 57

Number of judicial vacancies for Biden to fill: 57

Amount by which the vaccine supply has increased under Biden: 57%",270132611,1361740500420734980,e4a0d228eb6be76b,2098,461,15258,150,,,United States,"Philadelphia, PA",During_Feb
3,Twitter for iPhone,2021-02-26T04:19:55.000Z,"Special Issue: Preventing the Adverse Effects of SARS-CoV-2 Infection and COVID-19 through Diet, Supplements and Lifestyle - Open for submission in @Nutrients_MDPI @wbgrant2 https://t.co/DPxCBpxDSn",2248240679,1365154605303271428,e4a0d228eb6be76b,13,2,17,0,,,United States,"Philadelphia, PA",During_Feb
4,Twitter for iPhone,2021-02-27T13:04:13.000Z,Fully vaccinated and happy as hell! 24 hour flu like symptoms and now my only side effect is I can’t stop smiling. #COVID19Vaccine #Moderna https://t.co/c3CyxCnVVi,1022130591125438464,1365648935667310601,e4a0d228eb6be76b,0,3,18,0,,,United States,"Philadelphia, PA",During_Feb
5,Twitter for iPhone,2021-02-20T18:52:52.000Z,"This time last year, 6,604 fans filled the Liacouras Center as Temple beat UConn in OT. Last night, the stands were used to vaccinate more than 3,500 who waited hours in the cold at Philly’s first 24-hour walk-up site.

“This is hope.” 

w/ @anna_orso 
https://t.co/G2CperPhnh",793700166,1363199959370235912,e4a0d228eb6be76b,20,2,87,4,,,United States,"Philadelphia, PA",During_Feb
6,Twitter for iPhone,2021-02-25T14:25:16.000Z,The @VP is here at @GiantFood in DC highlighting the Administration’s Federal Retail Pharmacy Program designed to reach communities that need the COVID-19 vaccines the most. And hi @EleanorNorton 👋🏼 https://t.co/JVh4KT3KVX,1351292075975839746,1364944555531984897,0fc2ed7e84541001,108,7,856,7,,,United States,Giant Food,During_Feb
7,Twitter for Android,2021-02-15T17:51:01.000Z,"If everyone just wore a procedure mask, transmission of SARS-CoV-2 would plummet. All the current data supports this. 

Would N95s work even better? Probably yeah, but they require fit tests and getting people to wear them constantly and correctly would be extremely difficult.",4705081039,1361372458989854724,23ebe811ea93fd41,99,40,460,17,,,United States,"Chapel Hill, NC",During_Feb
8,Twitter for iPhone,2021-02-23T22:15:07.000Z,"Our paper is now published, an engineering investigation of one of the 1st COVID outbreaks implicating aerosol transmission: Transmission of SARS‐CoV‐2 by inhalation of respiratory aerosol in the Skagit Valley Chorale superspreading event https://t.co/N5owz6xAmk",605663585,1364338023488385029,fd70c22040963ac7,124,16,373,16,,,United States,"Boulder, CO",During_Feb
9,Twitter for iPhone,2021-02-17T02:59:05.000Z,He literally had the COVID-19 vaccine in his body when he came into office https://t.co/YPNOspJHPM,239005322,1361872770255224832,319ee7b36c9149da,2968,506,14167,251,,,United States,"Arlington, VA",During_Feb
10,Twitter for Android,2021-02-21T18:33:32.000Z,"COViD-19 Vaccines will not save UK.

COViD MUTANT's will overcome 100% of COViD-19 Vaccines, unfortunately.

Only Jesus saves!

Romans 1.

Holy Bible requires illegalizing homosexuality by national law.

Deuteronomy.

God will enforce God's Law through God's Angels. @JustinWelby https://t.co/P6EnT2oBcN",1199771785148993536,1363557484170985472,319ee7b36c9149da,0,0,0,0,,,United States,"Arlington, VA",During_Feb
11,Twitter for Android,2021-02-23T19:56:21.000Z,"COViD-19 is a person to person spreading virus.

Scientists know COViD-19 vaccines do not protect you against COVID-19 MUTANT's. @CDCgov @WHO @IOM_USA @AmerMedicalAssn @NIH @FDA
@AACNursing @ANANursingWorld @NLN @oncologynursing @INMO_IRL @AACNme @AWHONN

See 🙈 pinned tweet. https://t.co/WTWp1FxLZw",1199771785148993536,1364303099133837323,319ee7b36c9149da,0,0,0,0,,,United States,"Arlington, VA",During_Feb
12,Twitter for iPhone,2021-02-17T03:03:30.000Z,"Joe Biden got his second dose of the COVID-19 vaccine on January 11, which was 9 days before he entered the White House.

What a bizarre lie he just told on national TV. https://t.co/PyzyU857KY",239005322,1361873880416194562,319ee7b36c9149da,151,20,372,18,,,United States,"Arlington, VA",During_Feb
13,Twitter for iPhone,2021-02-27T16:08:20.000Z,At the expo center this morning for volunteer training for Utah Responds. Happy to hopefully help in some small way with the distribution of the COVID-19 vaccines. Over a thousand people have volunteered in Salt Lake County. ❤️ #utpol https://t.co/dJyCrmnUB3,403663140,1365695271074598913,fb9549afa6f81fa6,6,15,280,0,,,United States,"Sandy, UT",During_Feb
14,Twitter for iPhone,2021-02-13T22:21:57.000Z,Qualitative shift in selective pressures on SARS-CoV-2 and strong signals of convergent evolution in the 501Y lineages. https://t.co/QnFtle0brN,824105144241491968,1360715864664850433,dd9c503d6c35364b,28,2,60,3,,,United States,"Pennsylvania, USA",During_Feb
15,Twitter for iPhone,2021-02-24T01:33:30.000Z,"The growing evidence that the Covid-19 vaccines can reduce transmission, explained https://t.co/EKOYBNsLDy",173675251,1364387947047485440,dd9c503d6c35364b,0,0,0,0,,,United States,"Pennsylvania, USA",During_Feb
16,Twitter for iPhone,2021-02-19T17:00:11.000Z,"TIME-LAPSE VIDEO: The line stretches around an entire city block in the snow

1A &amp; 1B residents of under served areas hopeful to secure one of the 2800 first-come first-serve vaccines from the Black Doctors COVID-19 Consortium

Clinic runs 24hr straight. They’ll need it. @6abc https://t.co/Y9fuqhUjHc",1488975356,1362809214863892481,07d9c94692086003,23,11,61,2,,,United States,The Liacouras Center,During_Feb
